"Year","Sex","q0_1","q0_5"
1975,"Both",0.07667271015127,0.107392688584735
1975,"Females",0.0734385041537219,0.103914992370907
1975,"Males",0.0797482382169382,0.110670930470676
1976,"Both",0.072609217511094,0.101015301993112
1976,"Females",0.0695408075678518,0.0976989161967463
1976,"Males",0.0755361752346159,0.104025995894325
1977,"Both",0.0688606128552169,0.0951281011243195
1977,"Females",0.0658671210158573,0.0919026376634383
1977,"Males",0.0716319228296647,0.0981304312616394
1978,"Both",0.065339542456304,0.0895586940194452
1978,"Females",0.0624125653548396,0.0864737518668688
1978,"Males",0.0679977291168445,0.0923920872375732
1979,"Both",0.0618993086559795,0.0841793702871197
1979,"Females",0.0591813692406978,0.081283543562252
1979,"Males",0.0645118835762109,0.0869640837313216
1980,"Both",0.0587480196813051,0.0792271061879385
1980,"Females",0.0561586007335391,0.0764028178167764
1980,"Males",0.0612302920159293,0.0819414498040967
1981,"Both",0.0557999243037895,0.0745865001870494
1981,"Females",0.0532943490052867,0.071774692746346
1981,"Males",0.058146162451921,0.0772113430460041
1982,"Both",0.0530377281709139,0.0702368149888535
1982,"Females",0.0506566105181801,0.0675206112285701
1982,"Males",0.0552341225395655,0.0727278626279045
1983,"Both",0.0504272708642569,0.0661978994498838
1983,"Females",0.0481756047821443,0.0636344326172382
1983,"Males",0.052521799532478,0.0686527064129166
1984,"Both",0.0479479767360257,0.0623996520208448
1984,"Females",0.0458193279078472,0.0599175756924315
1984,"Males",0.0499352903471564,0.0647383317825391
1985,"Both",0.0455545614580711,0.0588470102287742
1985,"Females",0.0434967597675699,0.056388810903818
1985,"Males",0.0474997266061961,0.0611648607722129
1986,"Both",0.0433056156562216,0.0555322743929182
1986,"Females",0.0412957241929213,0.0531052069343803
1986,"Males",0.0452476146484314,0.0578525461138147
1987,"Both",0.04121478471206,0.0524887231699471
1987,"Females",0.0392416644206112,0.050107503393018
1987,"Males",0.0431012801492051,0.0547675190394911
1988,"Both",0.039295484137599,0.0497137037515613
1988,"Females",0.0373541323461,0.0473457205552521
1988,"Males",0.041130220811676,0.0519239742931671
