lt_label,ref_period,sex,x,n,nMx,nqx,npx,lx,ndx,nLx,Tx,ex
Adjusted,2017.5,Females,0,1,0.0135804503697471,0.0134118139775928,0.986588186022407,1e+05,1341.18139775928,98758.2415342427,7800658.3081539,78.006583081539
Adjusted,2017.5,Females,1,4,0.000539670761585625,0.002155786775727,0.997844213224273,98658.8186022407,212.68737645156,394105.798555134,7701900.06661965,78.0660074359002
Adjusted,2017.5,Females,5,5,0.000268999992527778,0.00134409605806495,0.998655903941935,98446.1312257892,132.321056912328,491899.853486665,7307794.26806452,74.2314012452544
Adjusted,2017.5,Females,10,5,0.000152410324454685,0.000761761371528945,0.999238238628471,98313.8101688768,74.8916628744799,491381.821687198,6815894.41457786,69.3279449028572
Adjusted,2017.5,Females,15,5,0.000236701669822689,0.00118280841729481,0.998817191582705,98238.9185060024,116.197819714838,490904.097980725,6324512.59289066,64.3788906583314
Adjusted,2017.5,Females,20,5,0.000250331167273372,0.00125087300511816,0.998749126994882,98122.7206862875,122.739062495226,490306.7557752,5833608.49490993,59.4521682043532
Adjusted,2017.5,Females,25,5,0.000288437270902688,0.00144114715313389,0.998558852846866,97999.9816237923,141.232394524302,489646.827132651,5343301.73913473,54.5234973578556
Adjusted,2017.5,Females,30,5,0.000457501388843502,0.00228489358924142,0.997715106410759,97858.749229268,223.596828765138,488734.754074427,4853654.91200208,49.5985790767744
Adjusted,2017.5,Females,35,5,0.000757544736087793,0.00378056381489542,0.996219436185105,97635.1524005028,369.115924227141,487252.972191946,4364920.15792765,44.7064407706622
Adjusted,2017.5,Females,40,5,0.00091939171056555,0.00458641676893137,0.995413583231069,97266.0364762757,446.102580742281,485214.925929523,3877667.18573571,39.8666104450706
Adjusted,2017.5,Females,45,5,0.00178123763029423,0.00886670388492989,0.99113329611507,96819.9338955334,858.473684010181,481953.485267642,3392452.25980619,35.0387789302414
Adjusted,2017.5,Females,50,5,0.00257891104573027,0.012811953010809,0.987188046989191,95961.4602115232,1229.45371907865,476733.66675992,2910498.77453854,30.3298716810173
Adjusted,2017.5,Females,55,5,0.00641874681609781,0.0315868638756581,0.968413136124342,94732.0064924446,2992.2869937448,466179.314977861,2433765.10777862,25.6910541420099
Adjusted,2017.5,Females,60,5,0.00891711139633858,0.0436132954470363,0.956386704552964,91739.7194986998,4001.07149072503,448695.918766686,1967585.79280076,21.4474799307474
Adjusted,2017.5,Females,65,5,0.0178807363692416,0.0855781796720206,0.914421820327979,87738.6480079747,7508.51378340663,419921.955581357,1518889.87403408,17.3115258613972
Adjusted,2017.5,Females,70,5,0.0379525956085502,0.17331828142639,0.826681718573611,80230.1342245681,13905.3489824107,366387.298666814,1098967.91845272,13.6976951250842
